Animal ID,Name,DateTime,MonthYear,Date of Birth,Outcome Type,Outcome Subtype,Animal Type,Sex upon Outcome,Age upon Outcome,Breed,Color,Age in Days
A856431,*Crumpet,05/16/2022 10:00:00 AM,May 2022,05/03/2015,Transfer,Snr,1,2,7 years,Domestic Shorthair,Orange Tabby,0.30303030303030304
A669742,*Sammy,01/14/2014 04:13:00 PM,Jan 2014,12/26/2008,Transfer,Partner,2,2,5 years,Australian Cattle Dog Mix,Tricolor/Blue Merle,0.24242424242424243
A712267,*Titan,10/27/2015 01:22:00 PM,Oct 2015,10/20/2014,Transfer,Partner,1,2,1 year,Domestic Shorthair Mix,White/Black,0.12121212121212122
A749999,*Verity,10/17/2017 08:50:00 AM,Oct 2017,05/22/2013,Adoption,Foster,2,3,4 years,Pit Bull Mix,Brown Brindle/White,0.21212121212121213
A756208,Kylo,09/15/2017 12:34:00 PM,Sep 2017,04/15/2017,Transfer,Partner,1,2,5 months,Domestic Shorthair Mix,Orange Tabby,0.10336239103362391
A758017,Silas,09/16/2017 08:10:00 PM,Sep 2017,09/10/2015,Adoption,Offsite,2,2,2 years,Staffordshire Mix,Tan/White,0.15151515151515152
A879485,*Sigourney,06/30/2023 05:18:00 PM,Jun 2023,04/09/2023,Adoption,Foster,1,3,2 months,Domestic Shorthair,Blue Tabby,0.09589041095890412
A827323,*Marley,03/19/2021 11:15:00 AM,Mar 2021,01/04/2012,Adoption,Foster,1,2,9 years,Maine Coon,Brown Tabby,0.36363636363636365
A693707,*Maisie,05/10/2015 04:48:00 PM,May 2015,05/13/2014,Adoption,Foster,1,3,11 months,Domestic Shorthair Mix,Tortie,0.11830635118306351
A757905,*Georgie,09/14/2017 12:31:00 PM,Sep 2017,09/08/2005,Transfer,Partner,2,2,12 years,Chihuahua Shorthair Mix,Black,0.4545454545454546
A691437,*Philippe,11/12/2014 09:49:00 PM,Nov 2014,10/05/2014,Euthanasia,Suffering,1,1,1 month,Domestic Shorthair Mix,Brown Tabby/White,0.09339975093399751
A830057,*Jasper,03/13/2021 02:05:00 PM,Mar 2021,03/01/2020,Adoption,Offsite,2,2,1 year,Alaskan Husky Mix,Tan/White,0.12121212121212122
A879921,*Cotton,07/22/2023 01:15:00 PM,Jul 2023,03/26/2023,Adoption,Foster,1,2,3 months,Domestic Shorthair,Orange Tabby/White,0.09838107098381071
A711291,Lightning,09/11/2015 04:04:00 PM,Sep 2015,09/05/2014,Transfer,Partner,2,1,1 year,Chihuahua Shorthair Mix,Cream,0.12121212121212122
A745974,Dig,03/28/2017 12:00:00 AM,Mar 2017,05/27/2016,Transfer,Partner,2,2,10 months,Dachshund Mix,Brown,0.11581569115815692
A627632,China,09/16/2014 01:23:00 PM,Sep 2014,05/19/2005,Transfer,Partner,2,3,9 years,Cocker Spaniel,Black/Brown,0.36363636363636365
A798776,Sassy,01/06/2022 02:32:00 PM,Jan 2022,05/12/2019,Transfer,Partner,1,3,2 years,Domestic Shorthair,Tortie,0.15151515151515152
A847652,*Tweedle,02/12/2022 12:44:00 PM,Feb 2022,11/29/2021,Adoption,Foster,1,2,2 months,Domestic Shorthair,Black,0.09589041095890412
A876423,102 Grams,03/14/2023 05:14:00 PM,Mar 2023,03/11/2023,Transfer,Partner,1,0,3 days,Domestic Shorthair,Black,0.09115815691158158
A618654,Sherah,04/03/2019 06:33:00 PM,Apr 2019,01/17/2010,Adoption,Foster,2,3,9 years,Pit Bull Mix,Red,0.36363636363636365
A794947,*Tulip,05/22/2019 03:09:00 PM,May 2019,05/14/2015,Transfer,Partner,2,0,4 years,Pit Bull,Blue,0.21212121212121213
A897929,*Trudy,02/23/2024 03:20:00 PM,Feb 2024,02/08/2022,Transfer,Partner,1,0,2 years,Domestic Shorthair,Blue,0.15151515151515152
A792788,*Hershey,08/02/2019 01:53:00 PM,Aug 2019,04/15/2011,Adoption,Foster,2,3,8 years,Labrador Retriever Mix,Chocolate,0.33333333333333337
A874409,*Soba,02/16/2023 12:06:00 PM,Feb 2023,01/03/2023,Transfer,Partner,2,0,1 month,Australian Shepherd Mix,Black/Brown,0.09339975093399751
A863288,A863288,08/11/2022 11:39:00 AM,Aug 2022,08/08/2021,Transfer,Snr,1,2,1 year,Domestic Shorthair,Black,0.12121212121212122
A791820,Bandit,09/03/2019 01:49:00 PM,Sep 2019,04/01/2011,Euthanasia,At Vet,2,2,8 years,Pit Bull/Labrador Retriever,Brown Brindle/White,0.33333333333333337
A806688,Caramela,10/28/2021 03:11:00 PM,Oct 2021,02/14/2019,Transfer,Partner,2,0,2 years,Chihuahua Shorthair,Brown,0.15151515151515152
A823722,*Guacamole,12/17/2020 03:50:00 PM,Dec 2020,08/29/2020,Adoption,Foster,1,3,3 months,Domestic Shorthair,Cream Tabby,0.09838107098381071
A702904,*Cuddles,07/15/2015 07:02:00 PM,Jul 2015,04/27/2015,Adoption,Foster,1,2,2 months,Domestic Medium Hair Mix,Brown Tabby,0.09589041095890412
A845569,*Peggy,02/03/2022 12:00:00 AM,Feb 2022,10/07/2021,Adoption,Foster,1,3,3 months,Domestic Shorthair,Tortie,0.09838107098381071
A803269,*Cassanova,09/10/2019 12:14:00 PM,Sep 2019,10/30/2018,Transfer,Partner,2,1,10 months,Australian Cattle Dog Mix,Black/Tricolor,0.11581569115815692
A894376,Percy,12/08/2023 03:36:00 PM,Dec 2023,12/07/2022,Transfer,Partner,1,2,1 year,Siamese,Cream,0.12121212121212122
A904181,A904181,05/11/2024 02:58:00 PM,May 2024,04/16/2024,Transfer,Partner,1,0,3 weeks,Domestic Shorthair Mix,Brown Tabby,0.09265255292652554
A705076,*Bea,06/17/2015 12:35:00 PM,Jun 2015,06/12/2012,Transfer,Partner,1,0,3 years,Domestic Shorthair Mix,Tortie,0.18181818181818182
A686092,Oliver,06/15/2016 11:30:00 AM,Jun 2016,03/16/2014,Adoption,Foster,1,2,2 years,Domestic Shorthair,Orange Tabby/White,0.15151515151515152
A852532,Bear,03/08/2022 02:38:00 PM,Mar 2022,03/04/2021,Transfer,Partner,2,2,1 year,Flat Coat Retriever Mix,Black/White,0.12121212121212122
A792945,*Wynken,05/28/2019 01:54:00 PM,May 2019,03/04/2019,Adoption,Foster,2,2,2 months,Yorkshire Terrier Mix,Tricolor,0.09589041095890412
A852560,*Fezzik,05/20/2022 11:33:00 AM,May 2022,03/05/2022,Transfer,Out State,2,2,2 months,Chihuahua Shorthair Mix,Black/Tan,0.09589041095890412
A881628,Cougi,06/09/2023 01:27:00 PM,Jun 2023,06/04/2012,Transfer,Partner,1,2,11 years,Domestic Shorthair,Brown Tabby,0.4242424242424243
A673530,Cece,11/11/2015 02:09:00 PM,Nov 2015,02/26/2011,Adoption,Foster,2,3,4 years,Chihuahua Shorthair Mix,Tan/Tan,0.21212121212121213
A741923,*Paddington,02/08/2017 12:40:00 PM,Feb 2017,11/19/2016,Adoption,Foster,2,2,2 months,Chihuahua Shorthair Mix,Tan,0.09589041095890412
A738726,*Fiona,11/26/2016 12:39:00 PM,Nov 2016,11/22/2009,Transfer,Partner,2,0,7 years,Chihuahua Shorthair Mix,Brown,0.30303030303030304
A730365,*Kiwi,12/20/2016 10:35:00 AM,Dec 2016,05/27/2016,Adoption,Foster,1,3,6 months,Domestic Shorthair Mix,Black,0.10585305105853052
A853030,*Study,07/27/2022 04:10:00 PM,Jul 2022,03/11/2018,Adoption,Foster,2,2,4 years,Labrador Retriever Mix,Black/White,0.21212121212121213
A803057,Henry,08/30/2019 10:49:00 AM,Aug 2019,10/01/2017,Transfer,Snr,1,2,1 year,Domestic Shorthair,Cream Tabby/White,0.12121212121212122
A683221,X,07/30/2014 10:44:00 AM,Jul 2014,07/08/2013,Transfer,Partner,1,0,1 year,Domestic Shorthair Mix,Brown Tabby,0.12121212121212122
A847247,A847247,11/30/2021 03:54:00 PM,Nov 2021,11/29/2016,Transfer,Partner,2,0,5 years,Chihuahua Shorthair Mix,Black,0.24242424242424243
A727251,*Mikey,05/27/2016 11:40:00 AM,May 2016,04/20/2016,Died,In Foster,1,1,1 month,Domestic Shorthair Mix,Cream Tabby/White,0.09339975093399751
A699246,Lily,03/25/2015 11:24:00 AM,Mar 2015,03/24/2014,Transfer,Partner,2,0,1 year,Lhasa Apso Mix,Brown,0.12121212121212122
A912161,*Salem,09/27/2024 05:27:00 AM,Sep 2024,07/26/2024,Adoption,Foster,1,3,2 months,Domestic Shorthair,Black,0.09589041095890412
A685769,Pogeaux,08/14/2014 11:28:00 AM,Aug 2014,05/12/2014,Transfer,Partner,2,0,3 months,Pit Bull Mix,Black/White,0.09838107098381071
A657441,Sadie,12/17/2013 12:15:00 PM,Dec 2013,12/27/2011,Adoption,Foster,2,3,1 year,Staffordshire Mix,Black/White,0.12121212121212122
A702122,*Calla,07/28/2015 10:00:00 AM,Jul 2015,05/09/2013,Adoption,Foster,1,3,2 years,Domestic Medium Hair Mix,White,0.15151515151515152
A885376,*Daria,08/15/2023 12:43:00 PM,Aug 2023,06/12/2023,Adoption,Foster,1,3,2 months,Domestic Shorthair,Calico,0.09589041095890412
A845251,*Pepita,02/02/2022 08:06:00 AM,Feb 2022,10/11/2021,Adoption,Foster,1,3,3 months,Domestic Medium Hair,Torbie,0.09838107098381071
A753374,*Ellie,08/16/2017 12:00:00 AM,Aug 2017,07/05/2016,Transfer,Partner,1,3,1 year,Domestic Shorthair Mix,Agouti,0.12121212121212122
A714498,*Jimmy,12/31/2015 08:01:00 AM,Dec 2015,09/12/2015,Adoption,Foster,1,2,3 months,Domestic Shorthair Mix,Blue Tabby,0.09838107098381071
A812552,Rocky,03/02/2021 11:29:00 AM,Mar 2021,10/24/2016,Transfer,Partner,2,2,4 years,American Bulldog Mix,White/Brown,0.21212121212121213
A870500,Rain,12/08/2022 03:35:00 PM,Dec 2022,12/07/2018,Transfer,Partner,1,3,4 years,Siamese,Cream/Gray,0.21212121212121213
A857390,A857390,05/16/2022 04:06:00 PM,May 2022,12/16/2021,Transfer,Partner,2,1,4 months,Beagle Mix,Brown Brindle/White,0.10087173100871731
A713031,*Wendy,10/06/2015 03:08:00 PM,Oct 2015,08/10/2015,Transfer,Partner,1,0,1 month,Domestic Shorthair Mix,Black,0.09339975093399751
A749209,*Mimi,06/17/2017 04:00:00 PM,Jun 2017,04/15/2017,Adoption,Foster,1,3,2 months,Domestic Shorthair Mix,Brown Tabby,0.09589041095890412
A666609,Peewee,11/08/2013 12:47:00 PM,Nov 2013,11/04/2007,Transfer,Partner,1,2,6 years,Domestic Shorthair Mix,Blue,0.2727272727272727
A800143,Captain America,07/20/2019 06:35:00 PM,Jul 2019,05/16/2019,Transfer,Partner,2,2,2 months,Chihuahua Longhair/Dachshund Longhair,Brown/Tan,0.09589041095890412
A798927,*Wella,07/31/2019 01:39:00 PM,Jul 2019,05/18/2019,Transfer,Partner,1,0,2 months,Domestic Shorthair Mix,Tortie,0.09589041095890412
A857540,*Kali,07/29/2022 03:35:00 PM,Jul 2022,05/17/2022,Adoption,Foster,1,3,2 months,Domestic Shorthair,Calico,0.09589041095890412
A860747,*Ollie,08/13/2022 03:10:00 PM,Aug 2022,05/08/2022,Adoption,Foster,1,2,3 months,Domestic Shorthair,Black/White,0.09838107098381071
A723322,*Pumpkin,05/07/2016 01:23:00 PM,May 2016,02/14/2016,Adoption,Foster,1,2,2 months,Domestic Medium Hair Mix,Orange Tabby,0.09589041095890412
A827008,*Wendy,03/23/2021 02:16:00 PM,Mar 2021,12/10/2019,Adoption,Foster,2,3,1 year,Australian Cattle Dog Mix,White/Black,0.12121212121212122
A809594,Faith,09/26/2022 04:35:00 PM,Sep 2022,07/27/2019,Adoption,Foster,2,3,3 years,Labrador Retriever,Black,0.18181818181818182
A796206,Xena,03/16/2021 01:30:00 PM,Mar 2021,05/30/2017,Adoption,Foster,2,3,3 years,German Shepherd,Brown/Black,0.18181818181818182
A859841,Kitty,06/23/2022 12:00:00 AM,Jun 2022,06/20/2021,Transfer,Snr,1,0,1 year,Domestic Shorthair Mix,Torbie/White,0.12121212121212122
A694419,*Tulip,02/06/2015 04:40:00 PM,Feb 2015,07/28/2013,Transfer,Partner,2,3,1 year,Pit Bull Mix,Brown Brindle/White,0.12121212121212122
A841245,A841245,09/28/2021 11:31:00 AM,Sep 2021,08/24/2019,Euthanasia,Aggressive,2,1,2 years,Pit Bull,Brown Merle/White,0.15151515151515152
A825790,*Wolfie,01/12/2021 02:40:00 PM,Jan 2021,11/06/2020,Adoption,Foster,2,3,2 months,Chihuahua Shorthair Mix,Tan,0.09589041095890412
A712836,*Bambi,10/28/2015 12:00:00 AM,Oct 2015,01/29/2015,Transfer,Partner,2,3,8 months,Pit Bull Mix,Brown/White,0.11083437110834371
A679769,*Possum,06/04/2014 12:17:00 PM,Jun 2014,05/25/2013,Transfer,Partner,2,2,1 year,Pekingese/Pug,White/Red Tick,0.12121212121212122
A820784,Muffin,08/07/2020 11:35:00 AM,Aug 2020,11/28/2019,Adoption,Foster,3,4,8 months,Rabbit Lh,White/Brown,0.11083437110834371
A889717,*Emily,10/02/2023 02:25:00 PM,Oct 2023,06/26/2023,Transfer,Partner,1,0,3 months,Domestic Shorthair,Brown Tabby/White,0.09838107098381071
A899038,*Beanie,06/01/2024 05:34:00 PM,Jun 2024,02/26/2023,Transfer,Barn,1,2,1 year,Domestic Shorthair,White/Black,0.12121212121212122
A771323,Pupsi,05/04/2018 12:44:00 PM,May 2018,02/03/2018,Transfer,Partner,2,0,2 months,Labrador Retriever Mix,Black/White,0.09589041095890412
A868561,Coco,12/09/2022 04:20:00 PM,Dec 2022,05/06/2022,Adoption,Foster,2,3,7 months,Doberman Pinsch,Black/Brown,0.10834371108343711
A667102,Sherlock,11/15/2013 02:54:00 PM,Nov 2013,01/12/2013,Euthanasia,Behavior,2,2,10 months,Black Mouth Cur Mix,Brown Brindle/Black,0.11581569115815692
A530793,Bobby Lee,04/17/2014 01:51:00 PM,Apr 2014,04/16/2008,Transfer,Partner,1,2,6 years,Domestic Shorthair Mix,Blue,0.2727272727272727
A754484,*Catelyn,02/23/2018 06:52:00 AM,Feb 2018,05/21/2017,Adoption,Foster,1,3,9 months,Domestic Shorthair Mix,Black,0.11332503113325032
A788883,Beedle,02/25/2019 05:16:00 PM,Feb 2019,02/10/2017,Transfer,Snr,1,3,2 years,Domestic Shorthair Mix,Brown Tabby/Brown,0.15151515151515152
A812382,Nugget,01/24/2020 04:51:00 PM,Jan 2020,09/21/2019,Transfer,Partner,1,3,4 months,Domestic Shorthair Mix,Torbie,0.10087173100871731
A725187,Cypress,05/15/2016 12:00:00 AM,May 2016,03/11/2016,Adoption,Foster,2,2,2 months,Catahoula Mix,Brown Merle/Tan,0.09589041095890412
A754118,Darla,08/29/2017 03:51:00 PM,Aug 2017,07/15/2015,Adoption,Foster,2,3,2 years,Siberian Husky/German Shepherd,Tan/Black,0.15151515151515152
A879391,A879391,04/27/2023 02:45:00 PM,Apr 2023,11/18/2022,Transfer,Partner,2,0,5 months,Rottweiler,Black/Tan,0.10336239103362391
A728768,*Woobie,04/24/2019 05:47:00 PM,Apr 2019,09/19/2015,Adoption,Foster,2,2,3 years,Labrador Retriever Mix,Black/White,0.18181818181818182
A750722,Carl,06/10/2017 12:38:00 PM,Jun 2017,01/30/2017,Adoption,Offsite,2,2,4 months,Labrador Retriever Mix,Brown/White,0.10087173100871731
A693933,Simba,12/23/2014 02:48:00 PM,Dec 2014,12/17/2009,Transfer,Partner,1,2,5 years,Domestic Medium Hair Mix,Blue Tabby/White,0.24242424242424243
A803919,*Larry,09/23/2019 02:31:00 PM,Sep 2019,07/16/2019,Transfer,Partner,1,0,2 months,Domestic Shorthair,Brown Tabby/White,0.09589041095890412
A878604,Champ,06/21/2024 12:00:00 AM,Jun 2024,07/14/2022,Return to Owner,Field,2,2,1 year,Queensland Heeler Mix,Red Tick/White,0.12121212121212122
A810703,*Watson,01/08/2020 12:00:00 AM,Jan 2020,11/06/2019,Adoption,Foster,2,2,2 months,Labrador Retriever Mix,Cream/White,0.09589041095890412
A704577,Big Cat,09/28/2017 01:57:00 PM,Sep 2017,10/25/2005,Transfer,Partner,1,3,11 years,Domestic Shorthair Mix,White/Blue,0.4242424242424243
A765879,*Baxter,02/20/2018 10:36:00 AM,Feb 2018,01/29/2017,Transfer,Partner,2,2,1 year,German Shepherd Mix,Black/Brown,0.12121212121212122
A594702,Indy,10/21/2015 12:00:00 AM,Oct 2015,06/10/2009,Transfer,Partner,2,2,6 years,Labrador Retriever Mix,Black/White,0.2727272727272727
A818475,*Puff,06/15/2020 04:45:00 PM,Jun 2020,04/30/2020,Transfer,Partner,2,1,1 month,Labrador Retriever/Siberian Husky,Brown,0.09339975093399751
A706670,*Jake,07/06/2015 03:49:00 PM,Jul 2015,07/01/2013,Transfer,Partner,2,2,2 years,Basenji Mix,Red/White,0.15151515151515152
A840738,213 Grams,08/12/2021 06:59:00 PM,Aug 2021,08/02/2021,Transfer,Partner,1,1,1 weeks,Domestic Shorthair,White/Black,0.09149024491490246
A708430,*Fern,10/08/2015 02:36:00 PM,Oct 2015,07/27/2014,Transfer,Partner,1,3,1 year,Domestic Longhair Mix,Black,0.12121212121212122
A746868,Ninjie,04/27/2017 06:24:00 PM,Apr 2017,03/10/2017,Adoption,Foster,1,3,1 month,Domestic Shorthair Mix,Brown Tabby,0.09339975093399751
A665854,Checkers,10/24/2013 04:21:00 PM,Oct 2013,12/23/2012,Transfer,Partner,2,1,10 months,Pit Bull Mix,White/Black,0.11581569115815692
A794910,*Thyme,05/15/2019 06:08:00 PM,May 2019,04/20/2019,Transfer,Partner,1,0,3 weeks,Siamese Mix,Lilac Point,0.09265255292652554
A678906,*Prince,07/09/2014 04:54:00 PM,Jul 2014,05/14/2014,Adoption,Foster,2,2,1 month,Labrador Retriever/Australian Shepherd,Tricolor,0.09339975093399751
A817348,Bat Girl,05/14/2020 10:08:00 AM,May 2020,05/14/2017,Died,In Kennel,1,0,3 years,Domestic Shorthair,Brown Tabby,0.18181818181818182
A724195,Royal,04/30/2016 12:06:00 PM,Apr 2016,04/24/2015,Transfer,Partner,2,3,1 year,Chow Chow Mix,Blue,0.12121212121212122
A863301,184 Grams,08/08/2022 01:47:00 PM,Aug 2022,07/18/2022,Transfer,Partner,1,0,3 weeks,Domestic Shorthair,Torbie,0.09265255292652554
A619153,Bowser,03/30/2017 12:47:00 PM,Mar 2017,09/11/2011,Transfer,Partner,2,2,5 years,Pit Bull Mix,Brown Brindle/White,0.24242424242424243
A759333,Truffles,02/04/2018 01:02:00 PM,Feb 2018,09/30/2012,Transfer,Partner,1,3,5 years,Domestic Shorthair Mix,Black,0.24242424242424243
A710327,Scooter,10/21/2015 11:13:00 AM,Oct 2015,07/14/2015,Transfer,Partner,1,2,3 months,Domestic Shorthair Mix,Orange Tabby/White,0.09838107098381071
A830927,*Dingo,05/05/2021 01:36:00 PM,May 2021,03/03/2021,Adoption,Foster,2,2,2 months,Australian Shepherd Mix,Blue Merle/White,0.09589041095890412
A908353,*Arya,08/06/2024 10:39:00 AM,Aug 2024,04/28/2024,Adoption,Foster,2,3,3 months,Great Pyrenees/Anatol Shepherd,White,0.09838107098381071
A832940,*Linguine,07/13/2021 02:57:00 PM,Jul 2021,03/30/2021,Adoption,Foster,1,3,3 months,Domestic Shorthair,Black Tabby,0.09838107098381071
A815338,Beast,03/18/2020 03:11:00 PM,Mar 2020,03/14/2017,Euthanasia,Suffering,1,2,3 years,Domestic Shorthair,Orange Tabby,0.18181818181818182
A611999,Hazel,03/21/2018 10:43:00 AM,Mar 2018,08/14/2011,Transfer,Partner,2,3,6 years,Labrador Retriever/German Shepherd,Red,0.2727272727272727
A670382,*Roscoe,02/04/2016 11:05:00 AM,Feb 2016,01/07/2012,Transfer,Partner,2,2,4 years,Pit Bull Mix,Brown Brindle/White,0.21212121212121213
A731810,Brisa,04/04/2017 02:30:00 PM,Apr 2017,12/26/2015,Adoption,Foster,2,3,1 year,Siberian Husky Mix,White,0.12121212121212122
A820759,Dexy,10/12/2020 06:47:00 PM,Oct 2020,03/08/2015,Adoption,Foster,2,3,5 years,Great Pyrenees,White,0.24242424242424243
A730225,Bullet,07/11/2016 12:00:00 AM,Jul 2016,06/30/2014,Transfer,Partner,2,1,2 years,Catahoula Mix,Brown Brindle/Black,0.15151515151515152
A747831,Buford,07/04/2019 12:28:00 PM,Jul 2019,04/25/2009,Adoption,Foster,2,2,10 years,Labrador Retriever Mix,Chocolate,0.3939393939393939
A770055,*Hunny,04/16/2018 02:06:00 PM,Apr 2018,02/27/2018,Transfer,Partner,2,0,1 month,Chihuahua Shorthair/Jack Russell Terrier,Buff/White,0.09339975093399751
A707301,*Barnaby,12/01/2015 08:03:00 AM,Dec 2015,07/11/2014,Adoption,Foster,2,2,1 year,Pit Bull Mix,Brown,0.12121212121212122
A722457,*Zolan,03/31/2016 01:31:00 PM,Mar 2016,03/17/2013,Transfer,Partner,1,2,3 years,Domestic Shorthair Mix,Black,0.18181818181818182
A853803,75 Grams,03/24/2022 05:57:00 PM,Mar 2022,03/23/2022,Transfer,Partner,1,0,1 day,Domestic Shorthair,Black,0.09099211290992114
A683316,*Fiona,09/02/2014 08:35:00 AM,Sep 2014,07/09/2011,Adoption,Foster,2,3,3 years,Chihuahua Shorthair Mix,Tan,0.18181818181818182
A851806,*Nomar,04/13/2022 08:31:00 AM,Apr 2022,02/08/2022,Adoption,Foster,2,2,2 months,German Shepherd Mix,Black/Brown,0.09589041095890412
A834998,A834998,05/25/2021 12:18:00 PM,May 2021,05/21/2019,Transfer,Snr,1,3,2 years,Domestic Shorthair,Calico,0.15151515151515152
A752924,*Gargamel,08/02/2017 02:46:00 PM,Aug 2017,06/05/2017,Transfer,Partner,1,1,1 month,Domestic Shorthair Mix,Black,0.09339975093399751
A721467,Sophie,04/24/2016 02:33:00 PM,Apr 2016,02/27/2001,Transfer,Partner,1,3,15 years,Domestic Shorthair Mix,Black Tabby/White,0.5454545454545455
A785719,Alvin,01/20/2019 05:33:00 PM,Jan 2019,12/08/2016,Adoption,Foster,2,2,2 years,Schnauzer Giant Mix,Tricolor,0.15151515151515152
A747716,*Winston,04/25/2017 03:34:00 PM,Apr 2017,03/23/2017,Transfer,Partner,1,1,4 weeks,Domestic Shorthair Mix,Black/White,0.09323370693233707
A857578,*Tré Cool,06/25/2022 12:57:00 PM,Jun 2022,04/11/2022,Adoption,Foster,1,2,2 months,Domestic Shorthair,Orange Tabby,0.09589041095890412
A864400,*Mario,09/23/2022 10:08:00 AM,Sep 2022,07/25/2022,Adoption,Foster,1,2,1 month,Domestic Shorthair,Blue/White,0.09339975093399751
A709649,Zeus,12/19/2016 11:39:00 AM,Dec 2016,01/11/2015,Euthanasia,Aggressive,2,1,1 year,Pit Bull Mix,Blue/White,0.12121212121212122
A740516,*Cindylou,01/15/2017 12:00:00 AM,Jan 2017,12/18/2015,Transfer,Partner,2,3,1 year,Chihuahua Shorthair Mix,Tan,0.12121212121212122
A787850,Niki,08/26/2020 08:04:00 AM,Aug 2020,01/21/2016,Adoption,Foster,2,3,4 years,Pit Bull/Labrador Retriever,Black/White,0.21212121212121213
A797380,*Moo,08/24/2019 12:26:00 PM,Aug 2019,05/16/2019,Adoption,Foster,1,2,3 months,Domestic Shorthair,White/Black,0.09838107098381071
A710340,*Herbie,10/19/2015 06:24:00 PM,Oct 2015,07/21/2015,Adoption,Foster,1,2,2 months,Domestic Shorthair Mix,Orange Tabby/White,0.09589041095890412
A786795,*Chunk,02/22/2019 04:55:00 PM,Feb 2019,12/29/2018,Adoption,Foster,2,2,1 month,Labrador Retriever Mix,Black/White,0.09339975093399751
A800444,*Daisy,08/08/2019 06:31:00 AM,Aug 2019,06/21/2019,Died,In Foster,1,0,1 month,Domestic Shorthair Mix,Brown Tabby,0.09339975093399751
A811028,*Lola,06/06/2020 12:11:00 PM,Jun 2020,12/26/2017,Adoption,Foster,2,3,2 years,Labrador Retriever Mix,White,0.15151515151515152
A700398,*Poppy,10/30/2015 01:15:00 PM,Oct 2015,04/13/2013,Adoption,Foster,2,3,2 years,Chihuahua Shorthair Mix,Fawn/White,0.15151515151515152
A853225,A853225,03/18/2022 12:36:00 PM,Mar 2022,01/15/2022,Transfer,Partner,2,0,2 months,Jack Russell Terrier Mix,White/Tan,0.09589041095890412
A693031,*Zach,12/05/2014 05:25:00 PM,Dec 2014,03/30/2014,Transfer,Partner,2,2,8 months,Pit Bull/Pointer,Black/White,0.11083437110834371
A687435,*Henry,10/18/2014 04:28:00 PM,Oct 2014,08/04/2014,Adoption,Foster,1,2,2 months,Domestic Shorthair Mix,Black,0.09589041095890412
A774181,Ainsley,06/15/2018 12:09:00 PM,Jun 2018,04/11/2018,Transfer,Partner,2,0,2 months,Yorkshire Terrier/Dachshund Longhair,Brown/White,0.09589041095890412
A745471,Blanco,03/24/2017 04:02:00 PM,Mar 2017,03/18/2015,Transfer,Partner,2,2,2 years,Chihuahua Shorthair Mix,White/Red,0.15151515151515152
A726623,*Lydia,05/17/2016 07:06:00 PM,May 2016,05/12/2015,Transfer,SCRP,1,0,1 year,Domestic Shorthair Mix,Brown Tabby,0.12121212121212122
A899369,Kitten 1,07/25/2024 05:03:00 PM,Jul 2024,12/20/2023,Adoption,Foster,1,3,7 months,Domestic Shorthair,Black/White,0.10834371108343711
A706085,*Charlie,07/19/2015 06:21:00 PM,Jul 2015,05/23/2015,Adoption,Foster,1,2,1 month,Domestic Shorthair Mix,Blue,0.09339975093399751
A666444,August,11/04/2013 03:50:00 PM,Nov 2013,11/01/2002,Transfer,Partner,1,3,11 years,Domestic Shorthair Mix,Tortie,0.4242424242424243
A686733,*Izabella,09/16/2014 06:18:00 PM,Sep 2014,05/26/2013,Transfer,Partner,2,3,1 year,Bulldog Mix,White/Liver,0.12121212121212122
A815549,*Cormac,05/20/2020 12:32:00 PM,May 2020,11/18/2019,Adoption,Foster,1,2,6 months,Domestic Shorthair,White,0.10585305105853052
A669304,Rico Suave,12/18/2013 12:32:00 PM,Dec 2013,12/18/2011,Euthanasia,Rabies Risk,3,4,2 years,Squirrel Mix,Brown,0.15151515151515152
A830502,Bella,05/02/2024 01:00:00 PM,May 2024,12/29/2020,Adoption,Foster,2,3,3 years,Boxer Mix,Tricolor,0.18181818181818182
A615165,Duke,11/21/2013 03:00:00 PM,Nov 2013,11/18/2011,Euthanasia,Aggressive,2,2,2 years,Pit Bull Mix,Black/White,0.15151515151515152
A838114,*Hank,07/27/2021 10:02:00 AM,Jul 2021,05/26/2021,Adoption,Foster,2,2,2 months,Chihuahua Shorthair/Norwich Terrier,Tan/White,0.09589041095890412
A840338,April,08/07/2021 10:51:00 AM,Aug 2021,08/06/2020,Transfer,Partner,2,3,1 year,Maltese,White,0.12121212121212122
A671971,Cookie,05/14/2021 12:27:00 PM,May 2021,05/11/2005,Transfer,Partner,2,3,16 years,Dachshund/Chihuahua Shorthair,Tan,0.5757575757575758
A902404,Blanquita,04/19/2024 01:20:00 PM,Apr 2024,04/16/2023,Transfer,Partner,1,0,1 year,Domestic Shorthair,Calico,0.12121212121212122
A837494,A837494,06/26/2021 11:35:00 AM,Jun 2021,04/16/2021,Transfer,Partner,2,1,2 months,Miniature Schnauzer Mix,Tan,0.09589041095890412
A871428,A871428,01/04/2023 01:46:00 PM,Jan 2023,11/05/2022,Transfer,Partner,1,0,1 month,Domestic Shorthair Mix,Tortie,0.09339975093399751
A868043,238 Grams,11/03/2022 08:29:00 AM,Nov 2022,09/27/2022,Transfer,Partner,1,1,1 month,Domestic Shorthair,Brown Tabby,0.09339975093399751
A878081,126 Grams,04/06/2023 07:06:00 PM,Apr 2023,03/22/2023,Transfer,Partner,1,1,2 weeks,Domestic Shorthair,Black,0.09207139892071399
